연도,시도,시군,읍면동,재배품목,재배경영체수,재배면적
"2019","경기도","수원시","조원1동","참당귀","2","622"
"2019","경기도","고양시","송산동","호두","9","7521"
"2019","경기도","성남시","운중동","상추","10","7426.5"
"2019","경상북도","영주시","영주1동","주목","2","5966"
"2019","강원도","평창군","평창읍","아로니아","18","21839"
"2019","경기도","수원시","조원1동","아로니아","4","8408"
"2019","충청남도","서산시","석남동","편백나무","1","1440"
"2019","경기도","파주시","조리읍","약용작물류 기타","5","6540"
"2019","경상남도","거제시","장목면","코스모스","1","598"
"2019","충청남도","천안시","병천면","야생화","4","23795"
"2019","전라북도","익산시","영등2동","마늘","8","3593"
"2019","경기도","안성시","원곡면","대추","5","6801"
"2019","전라북도","정읍시","고부면","백일홍","11","9802"
"2019","충청남도","보령시","천북면","소나무","12","13290"
"2019","충청남도","금산군","금성면","옻","9","13401"
"2019","경기도","안양시","신촌동","벼","4","10469"
"2019","경상북도","청도군","이서면","소나무","17","18329"
"2019","강원도","영월군","상동읍","고냉지배추","9","281078.7"
"2019","대구광역시","수성구","범어4동","복숭아","29","55009.5"
"2019","전라북도","정읍시","내장상동","잔디","2","22602"
"2019","경상남도","양산시","물금읍","연근","2","2903"
"2019","경기도","가평군","조종면","알타리무","3","1444"
"2019","경상북도","경산시","서부1동","산수유","1","1686"
"2019","전라남도","신안군","비금면","옥수수","3","4209"
"2019","강원도","춘천시","강남동","메밀","5","12544"
"2019","경상남도","통영시","산양읍","두충나무","2","737"
"2019","전라북도","순창군","금과면","순무","1","1699"
"2019","대전광역시","유성구","온천1동","산수유","2","1729"
"2019","서울특별시","강남구","대치2동","블랙커런트","1","1299"
"2019","강원도","인제군","인제읍","상추","2","4030"
"2019","경상남도","합천군","청덕면","두충나무","4","5781"
"2019","광주광역시","광산구","신흥동","소나무","5","10214"
"2019","대구광역시","동구","안심2동","시금치","1","200"
"2019","경기도","안산시","안산동","양파","6","2345"
"2019","전라남도","장성군","황룡면","조미채소류 기타","7","5756"
"2019","경기도","포천시","포천동","방울토마토","2","521"
"2019","서울특별시","서대문구","남가좌1동","과실류 기타","3","2538"
"2019","인천광역시","서구","가좌4동","건고추","5","1240"
"2019","세종특별자치시","세종시","한솔동","은행","2","1920"
"2019","경상북도","경주시","안강읍","한라봉","1","4660.5"
"2019","경기도","가평군","가평읍","꽃사과나무","2","2267.2"
"2019","충청남도","천안시","성남면","밤","8","18116.5"
"2019","대구광역시","달성군","옥포읍","저장배추","1","330"
"2019","전라남도","여수시","율촌면","구지뽕","1","1000"
"2019","경상북도","구미시","무을면","비트(붉은사탕무우)","1","1222"
"2019","경상북도","경주시","현곡면","여름배추","3","4206"
"2019","충청북도","음성군","삼성면","국화","4","5960"
"2019","경상남도","합천군","봉산면","애기사과","1","1434"
"2019","대전광역시","동구","중앙동","가을무","6","2698"
"2019","경기도","평택시","비전1동","생강","3","1710"
"2019","전라남도","여수시","쌍봉동","상추","13","1566.6"
"2019","인천광역시","서구","검단동","감자","29","16974.6"
"2019","전라남도","완도군","보길면","녹두","2","2171"
"2019","강원도","양양군","서면","산마늘","14","9716"
"2019","경기도","여주시","점동면","대파","14","7944.4"
"2019","경기도","용인시","죽전1동","고구마","52","42297.5"
"2019","제주특별자치도","제주시","아라동","수박","7","11274"
"2019","충청북도","괴산군","불정면","고구마","33","27475"
"2019","경상남도","합천군","가회면","매실","36","44496.5"
"2019","부산광역시","사상구","모라1동","김장(가을)배추","13","3732.3"
"2019","충청남도","서산시","고북면","시금치","1","298"
"2019","부산광역시","해운대구","중1동","콩","15","6629"
"2019","경상남도","합천군","야로면","더덕","3","1224"
"2019","경상북도","경주시","선도동","느티나무","6","5499"
"2019","경상남도","창원시","풍호동","수박","1","60"
"2019","인천광역시","서구","신현원창동","벼","30","132989.3"
"2019","경상북도","예천군","지보면","애호박","5","17773.9"
"2019","경기도","성남시","위례동","토란","3","968"
"2019","인천광역시","옹진군","자월면","메밀","7","20268"
"2019","강원도","삼척시","교동","오가피","9","5902"
"2019","경기도","부천시","중1동","엽경채류 기타","2","266"
"2019","경기도","고양시","마두1동","야콘","1","1480"
"2019","경상북도","김천시","지좌동","오미자","1","1063.5"
"2019","부산광역시","남구","대연5동","복숭아","1","2075"
"2019","경상남도","함양군","서상면","잡곡류 기타","2","4776"
"2019","경상북도","구미시","인동동","백일홍","1","1800"
"2019","충청남도","공주시","탄천면","장뇌","1","40000"
"2019","인천광역시","옹진군","대청면","가을무","11","2639"
"2019","전라북도","고창군","신림면","조사료기타","9","99979.9"
"2019","울산광역시","울주군","두동면","초화류 기타","11","25035"
"2019","강원도","삼척시","원덕읍","귀리","1","1365"
"2019","경기도","부천시","중동","방울토마토","1","124"
"2019","경기도","파주시","월롱면","과채류 기타","1","80"
"2019","경기도","양평군","서종면","열무","8","1747"
"2019","경기도","김포시","장기본동","깻잎(들깨)","2","3020"
"2019","경기도","포천시","영북면","회양목","2","3118"
"2019","세종특별자치시","세종시","고운동","가을무","7","4951"
"2019","경기도","이천시","중리동","향나무","2","733"
"2019","충청북도","청주시","운천신봉동","메밀","1","2420"
"2019","전라남도","함평군","엄다면","토마토","2","63218"
"2019","충청남도","계룡시","엄사면","풋고추","6","2871"
"2019","부산광역시","해운대구","좌1동","양배추","2","1496"
"2019","충청남도","아산시","온양6동","갓","2","27"
"2019","경기도","포천시","관인면","잣나무","2","1560"
"2019","경기도","남양주시","화도읍","단감","7","8827"
"2019","서울특별시","성동구","왕십리2동","콩","11","5436"
"2019","충청북도","제천시","덕산면","사과","10","15060"
"2019","충청남도","당진시","송산면","기타 사료작물","2","10971"
"2019","충청북도","음성군","대소면","느티나무","2","4642"
"2019","강원도","원주시","문막읍","전나무","2","7077"
